"","x"
"3084","他用手指向我示意"
"3085","並且一改常態"
"3086","用溫柔而圓潤的聲音說"
"3087","
    “踩呀"
"3088","喂"
"3089","踩踩試試呀"
"3090","”
    我不明白這是什麼意思"
"3091","然而"
"3092","他那雙藍眼睛從高生命令我"
"3093","他的寬闊的肩膀後面"
"3094","罩上雪花的金閣燦爛輝煌"
"3095","洗過似的冬季的藍天"
"3096","充滿了潮濕的空氣"
"3097","他的藍眼睛沒有露有一絲殘酷"
"3098","這瞬間我為什麼竟感到人世間也是抒情的呢"
"3099","
    他放下了粗大的手"
"3100","抓住了我的後脖頸"
"3101","硬讓我站了起來"
"3102","但是"
"3103","他命令的聲調還是那樣的溫和"
"3104","那樣的優美"
"3105","
    “‘踩呀"
"3106","踩下去呀"
"3107","”
    我難以抗拒"
"3108","就抬起了蹬著長統膠靴的腳"
"3109","美國兵拍了拍我的肩膀"
"3110","我的腳落了下去"
"3111","踩在春泥般柔軟的物體上"
"3112","原來竟是女人的腹部"
"3113","女人閉上眼睛"
"3114","發出了呻吟"
"3115","
    “再踩"
"3116","再使勁踩呀"
"3117","”
    我又踩了踩"
"3118","再跌時"
"3119","第一次跌下去的不舒服的感覺"
"3120","竟變成了一種勃發的喜悅"
"3121","我想"
"3122","這是女人的腹部"
"3123","這是女人的胸脯"
"3124","他人的肉體竟像皮球似的"
"3125","以如此憨厚的彈力做出了反應"
"3126","這是出乎我的想像之外的"
"3127","
    “行了"
"3128","”美國兵明確地說"
"3129","
    於是"
"3130","他很有禮貌地把女人抱了起來"
"3131","拂去了她身上的泥和雪"
"3132","然後他沒有回頭看我一眼"
"3133","就扶著女人先走開了"
"3134","直到最後"
"3135","女人才把視線從我的臉上移開"
"3136","
    走到吉普車旁"
"3137","美國兵讓女人先上車"
"3138","然後掛著一副威嚴的陣勝"
"3139","沖著我說了聲謝謝"
"3140","他還要給我錢"
"3141","我拒絕收下"
"3142","他又從車座上取出了兩條美國香煙"
"3143","塞在我的手裡"
"3144","
    我站在正門南的雪光的反射中"
"3145","臉頰在發燒"
"3146","吉普車揚起了一陣煙雪"
"3147","慢慢地搖晃著遠去了"
"3148","看不見吉普車了"
"3149","我的肉體卻亢奮起來"
"3150","
    ……亢奮好不容易平靜下來時"
"3151","我的腦子裡又浮現出他善的喜悅的企念"
"3152","我想"
"3153","喜歡抽煙的老師會多麼高興地接受這份禮物啊"
"3154","個中原委"
"3155","他什麼也不知道"
"3156","
    所有這一切統統沒有必要坦白出來"
"3157","我只不過是受命於人"
"3158","被迫為之而已"
"3159","假使反抗的話"
"3160","我自己也不知道會遭到什麼災難呢"
"3161","
    我向大書院老師的房間走去"
"3162","擅長於這種事的副司正在給老師剃頭"
"3163","我就在灑滿晨光的廊道上等候著"
"3164","
    在庭院的陸舟松映襯下"
"3165","積雪更是耀眼生輝"
"3166","簡直像是一張折疊的嶄新的風帆"
"3167","
    剃頭的時候"
"3168","老師閉上眼睛"
"3169","雙手捧著一張紙承接飄落下來的頭發"
"3170","隨著剃刀的移送"
"3171","他的頭的動物性的嶄新輪廓就清晰地顯露出來了"
"3172","剃畢"
"3173","副司用熱毛巾裹著老師的頭"
"3174","良久才把毛巾揭開"
"3175","毛巾下面露出的腦袋像是剛生下的、溫乎乎的"
"3176","又像是剛煮出來的東西"
"3177","
    我好不容易才申明了來意"
"3178","叩頭呈上兩條切斯特菲爾德香煙"
"3179","
    “哦"
"3180","你辛苦了"
"3181","”老師說了這麼一句"
"3182","他臉上閃過了一絲微笑"
"3183","僅此而已"
"3184","老師漫不經心地就手將兩條香煙隨便摞在堆滿各種文件和信件的桌面上"
"3185","
    副司給老師擦肩膀"
"3186","老師又把眼睛合上"
"3187","
    我不得不退下"
"3188","一股不滿的情緒燃遍了我的全身"
"3189","自己所干的不可理解的罪惡行為"
"3190","得到了意味著獎勵的香煙"
"3191","不了解原委就把香煙接受下來的老師……這一系列的關系"
"3192","理應還有更富戲劇性的、更激烈的東西"
"3193","老師對此卻毫無察覺"
"3194","這事便成為促使我輕蔑老師的又一個重要的原因"
"3195","
    然而"
"3196","我正要退下的當兒"
"3197","老師又把我叫住了"
"3198","因為恰巧這時候他正想給我施加恩惠"
"3199","
    “我想讓你……”老師說"
"3200","“畢業後就上大谷大學"
"3201","令等在九泉之下也一定惦掛著你的"
"3202","你一定要加倍努力學習"
"3203","以優秀的成績進入大學"
"3204","”
    一轉眼間"
"3205","這一消息從副司的嘴裡傳遍了整個寺廟"
"3206","因為老師許下諾言讓我上大學深造"
"3207","這是受到格外器重的證據"
"3208","據說從前有些弟子為了爭取上大學"
"3209","甚至必須百夜到住持房間給他擦肩搓背"
"3210","才能如願以償"
"3211","諸如此類的事堆積如山"
"3212","決定依靠家裡提供費用上大谷大學的鶴川"
"3213","拍了拍我的肩膀"
"3214","為我高興"
"3215","而另一個得不到老師任何關照的師弟"
"3216","竟因此而不同我交往了——""
""4"",""







    不久"
"3217","1947年春上"
"3218","我進了大谷大學的預科"
"3219","這時"
"3220","表面上我似乎是在老師不渝的寵愛和同事的羨慕之下意氣風發地入學的"
"3221","其實並非如此"
"3222","關於這歡升學"
"3223","有件事情回想起來也覺可根"
"3224","
    老師答應讓我升大學一周後"
"3225","一個下雪的早晨"
"3226","我剛從學校回來"
"3227","那個沒有得到關照升大學的師弟"
"3228","帶著非常高興的表情望著我"
"3229","這之前"
"3230","這小子是不搭理我的"
"3231","
    不論是寺廟男僕的態度"
"3232","還是副司的態度都有些異乎平常"
"3233","但是"
"3234","表面上他們卻佯裝與平常一樣"
"3235","這些我都看出來了"
"3236","
    這天晚上"
"3237","我到鶴川的臥室裡"
"3238","告訴他寺廟的人的態度有些蹊蹺"
"3239","起初鶴川也和我一樣做出納悶的樣子"
"3240","片刻"
"3241","不會偽裝情感的地露出了不安的神色"
"3242","目不轉睛地望著我"
"3243","
    “我是從那小子"
"3244","”鶴川"
"3245","說出了另一個師兄弟的名字"
"3246","“我是從那小子那裡聽來的"
"3247","他上學去了"
"3248","也不知道……反正你不在寺廟內"
"3249","據說發生了一樁奇怪的事情"
"3250","”
    我心潮起伏"
"3251","不由得追問下去"
"3252","鶴川讓我發誓要嚴守秘密"
"3253","然後觀察了一下我的臉色"
"3254","才和盤托出"
"3255","
    據說"
"3256","那天下午"
"3257","一個身穿緋紅色大衣、專以外國人為對象的娼婦造訪寺廟"
"3258","要求會見住持"
"3259","副司代表住持來到了正門"
"3260","女人斥署副司"
"3261","說無論如何也要面見住持"
"3262","湊巧這時老師從廊道上走過來"
"3263","看見女人的身影"
"3264","就來到了正門"
"3265","據女人說"
"3266","約莫一周前的一個雪後晴朗的早晨"
"3267","她同美國兵一起前來參觀金閣"
"3268","被美國兵推倒在地"
"3269","廟裡的小和尚為討好美國兵"
"3270","用腳踐踏她的腹部"
"3271","當晚她就流產了"
"3272","所以要求賠償"
"3273","假使不賠"
"3274","她就向社會公開投訴鹿苑寺的不道德行為"
"3275","
    老師沉默不言"
"3276","付過錢後就將她打發走了"
"3277","老師明知當天向導游正是我"
"3278","不是別人"
"3279","可他卻由於無人目擊我的不道德行為"
"3280","就決定不讓我知道這件事"
"3281","老師采取不予置理的態度"
"3282","
    可是"
"3283","寺廟的人從副司那裡一聽說這件事"
"3284","都認定是我手的"
"3285","離川握住了我的手"
"3286","眼淚幾乎奪眶而出"
"3287","他用透明的目光凝視著我"
"3288","他的少年般的純真的聲音搏擊著我"
"3289","
    “你真的干了這種事啦"
"3290","”
    ……我直面自己的灰暗的感情"
"3291","這是鶴川刨根問底似的質問迫使我這樣做的"
"3292","
    鶴川為什麼要質問我這件事呢"
"3293","是出於友情嗎"
"3294","他知道不知道這樣質問我"
"3295","就會拋棄了他自己的真正的職責"
"3296","他知道不知道他的這種質問"
"3297","在我心靈深處背叛了我"
"3298","
    我已經不知說過多少次了"
"3299","鶴川是我的正片……知果鶴川忠於他的職責"
"3300","他就不應該對我刨根問底"
"3301","而應該不聞不問"
"3302","如實地把我灰暗的感情翻譯成明亮的感情"
"3303","那時候"
"3304","虛假將會變成真實"
"3305","而真實的就將會變成虛假"
"3306","如果鶴川能發揮他那種天生的做法"
"3307","把所有的背陰譯成向陽"
"3308","把所有的黑夜譯成白晝"
"3309","把所有的月光譯成日光"
"3310","把所有的夜間質樸的陰濕譯成白晝晶亮的嫩葉在搖曳"
"3311","那麼"
"3312","我或許會結結巴巴地懺悔所有這一切"
"3313","然而在這節骨眼上"
"3314","他偏偏沒有這樣做"
"3315","於是"
"3316","我的灰暗的感情就獲得了力量……
    我曖昧地笑了"
"3317","這是一個沒有暖氣的寺廟的深夜"
"3318","膝蓋冷颼颼的"
"3319","幾根古老的粗柱子聳立在那裡"
"3320","把竊竊私語的我們包圍住了"
"3321","
    我顫栗不已"
"3322","大概是寒冷的緣故吧"
"3323","但是"
"3324","第一次公然向朋友撒謊"
"3325","這份樂趣也足以使裹著睡衣的我的膝蓋發抖了"
"3326","
    “我什麼也沒有干"
"3327","”
    “是嗎"
"3328","那就是女人說謊哩"
"3329","他媽的"
"3330","這件事連副司都相信哩"
"3331","”
    他的正義感漸漸高漲起來"
"3332","甚至慷慨激昂地說"
"3333","明天他一定替我向老師解釋清楚"
"3334","這時我心中忽地浮現出老師那個剛剃過的、活像剛煮出來的蘿卜一樣的腦袋"
"3335","然後浮現他那副無抵抗的桃紅色的臉頰"
"3336","不知何故"
"3337","我對這種心象突然感到非常厭惡"
"3338","在鶴川表露正義感之前我必須親手把它全部埋在土裡"
"3339","
    “不過"
"3340","老師會相信是我干的嗎"
"3341","”
    “這個嘛……”鶴川頓時窮於思考"
"3342","
    “不管別人背後怎樣議論"
"3343","老師一直保持沉默"
"3344","獨自推敲"
"3345","我覺得是可以放心的"
"3346","”
    於是"
"3347","我做了說明"
"3348","讓他明白他的解釋反而只能加深大家對我的猜疑"
"3349","我說"
"3350","只要老師知道我是無辜的"
"3351","其他的一切就可以不問了"
"3352","說話的時候"
"3353","我心裡露出了幾分喜悅"
"3354","喜悅逐漸牢固地扎下了根"
"3355","這是“沒有目擊者、沒有見證人”的喜悅……
    我並不相信只有老師認為我是無辜的"
"3356","毋寧說正相反"
"3357","老師置所有的一切不聞不問"
"3358","反而證實我的這種推測是對的"
"3359","
    說不定老師從我手裡接過兩條切斯特菲爾德香煙的時候"
"3360","早已著穿了呢"
"3361","他之所以不問"
"3362","也許只是為了從遠處忍耐地等待著我自覺的懺悔吧"
"3363","不僅如此"
"3364","也許還以升大學為誘餌"
"3365","換取了我的仔海"
"3366","假如我不懺悔"
"3367","就不讓我升學"
"3368","以懲罰我不老實"
"3369","假如仔海"
"3370","就盤查悔改的效驗"
"3371","爾後施以格外的恩典"
"3372","允許我升大學"
"3373","而且"
"3374","更大典圈套是老師命令副司不告訴我這件事"
"3375","倘使我真是無辜"
"3376","那麼我可以無所感覺"
"3377","無所知曉地度日子"
"3378","另一方面"
"3379","倘使我犯了罪"
"3380","並且多少還有點智慧"
"3381","那麼我可以完全模仿無辜"
"3382","度過純潔的沉默的日子"
"3383","就是說"
"3384","反過沒有必要懺悔的日子"
"3385","不"
"3386","模仿也是好的"
"3387","這是最妥善的辦法"
"3388","這是證明我心地純潔的惟一的道路"
"3389","老師就是這樣暗示了這一點"
"3390","他讓我落入這個圈套……一想到這裡"
"3391","我便義憤填膺"
"3392","
    當然"
"3393","我並非沒有辯解的余地"
"3394","如果我不踐踏那個女人"
"3395","外國兵也許會掏出手槍來威脅我的性命"
"3396","不能反抗占領軍"
"3397","所有這一切"
"3398","我都是在被威脅的情況下干出來的"
"3399","
    但是"
"3400","那透過我的長統膠靴所感覺到的女人的腹部、那媚人的彈力、那呻吟、那像被壓碎的肉泥綻開的花兒"
"3401","給我一種感覺"
"3402","一種誘惑曲感覺"
"3403","那時候"
"3404","女人的內心貫通在我內心的"
"3405","是一種隱微的閃電般的東西……我不能說這些東西都是被強迫去體味的"
"3406","至今我也沒有忘卻甜美的那一瞬間"
"3407","
    老師知道我感受的核心"
"3408","那甜美的核心"
"3409","
    此後一年"
"3410","我成為被逮住的籠中鳥"
"3411","籠子不斷地映入我的眼簾"
"3412","我打定主意決不懺悔"
"3413","可是"
"3414","我每天都不得平靜"
"3415","
    說來世奇怪"
"3416","當時我並不認為那是犯罪的行為"
"3417","因為在我的記憶裡踩踏女人的行為漸漸生出了光輝"
"3418","不僅是因為我知道結果女人流產了"
"3419","那種行為恍如金沙似地沉澱在我的記憶裡"
"3420","永遠放肘出刺眼的光芒"
"3421","罪惡的光芒"
"3422","不錯"
"3423","縱令是細小的罪惡"
"3424","但罪惡的意識是明確的"
"3425","不覺間我具備了這種意識"
"3426","它就像勳章那樣掛在我的心底裡"
"3427","
    ……作為實際問題"
"3428","直到參加大谷大學考試以前的這段時間"
"3429","我降了一味揣摩老師的意向以外"
"3430","真是束手無策"
"3431","老師一次也不曾推翻過讓我升學的口頭保證"
"3432","但是"
"3433","他也不曾催促過我做好考試的准備"
"3434","不論哪層意思"
"3435","我多麼盼望老師的一句話啊"
"3436","可是老師卻故意刁難"
"3437","保持沉默"
"3438","仿佛讓我接受長時間的拷問"
"3439","我也不知道是由於害怕"
"3440","還是出於反抗"
"3441","總之再也無法就升學問題探詢老師的意向"
"3442","過去我和普通人一樣"
"3443","對老師懷有敬意"
"3444","如今卻用批判的目光凝視著他"
"3445","他的身影漸漸變成一只龐大的怪物"
"3446","再也看不見有人性的存在"
"3447","我好幾次試圖把臉扭過去不瞧它"
"3448","可它依然存在"
"3449","活像一座奇怪的城堡盤踞在那裡"
"3450","
    時值晚秋"
"3451","老師准備應邀參加一個老施主的葬禮"
"3452","這主人距此地約需兩個多小時火車的路程"
"3453","所以老師頭天晚上就宣布他早晨五點半出發"
"3454","副司陪同前往"
"3455","我們也為了趕得上老師的出門時間"
"3456","必須四點起床"
"3457","做好清掃工作以及備好早餐"
"3458","
    副司照料老師的這段時間"
"3459","我們起床後就上早課"
"3460","誦讀經文"
"3461","
    昏暗而寒冷的寺廚那邊"
"3462","不斷地響起用吊桶汲水的吱吱聲"
"3463","寺廟的人都在忙於盥說"
"3464","後院的公雞的啼鳴清徹而響亮"
"3465","劃破了晚秋黎明前的黑暗"
"3466","東方吐白了"
"3467","我們合攏僧衣的袖口"
"3468","急匆匆地走到客殿的佛壇前"
"3469","
    在黎明前的冷空氣中"
"3470","這間不曾睡過人的寬敞的和式房間"
"3471","有著一種不可抵御似的寒冷之感"
"3472","燭台上的火焰搖搖曳曳"
"3473","我們三拜之後"
"3474","站著叩頭"
"3475","和著征聲跪坐叩頭"
"3476","如此反復三次"
"3477","
    早課誦經時"
"3478","在集體誦經的男聲中"
"3479","我經常感受到勃勃的生機"
"3480","一天中以早課的誦經聲最激越"
"3481","它足以把整夜的妄念吹散"
"3482","仿佛是從聲帶中迸發出黑色的水花"
"3483","我不知道自己的事究竟如何"
"3484","雖然不知道"
"3485","但一想到我的聲音也同樣可以把男人的污穢撒向四方"
"3486","這時它竟奇妙地使我增加了勇氣"
"3487","
    我們還沒有用完早餐"
"3488","老師出發的時間到了"
"3489","按寺廟的規矩"
"3490","老師出門"
"3491","寺廟眾憎都要在正門前列隊歡送"
"3492","
    天還沒有發白"
"3493","上空布滿了星星"
"3494","在星光的照耀下"
"3495","一直通到山門前的這段石台階"
"3496","白晃晃地向前延伸c四處都落上了巨大的泡樹、梅樹、松樹的影子"
"3497","影子融化在影子裡"
"3498","占據著整個地面"
"3499","我穿了件有破口的毛衣"
"3500","拂曉的冷空氣從我的胳膊肘滲透了進來"
"3501","
    所有這一切都是在無言中進行"
"3502","我們默默地低下頭來"
"3503","老師幾乎沒有反應"
"3504","只聽見老師和副司走在台階上的咯咯咯咯的木屣聲"
"3505","越走距我越遠"
"3506","我們一直目送到完全看不見他們的背影"
"3507","這是禪家的禮節"
"3508","
    他們走遠了"
"3509","我們看見的並不是他們的背影的全部"
"3510","而只是僧衣的潔白的下擺和潔白的布襪子"
"3511","有時我以為已經看不見了"
"3512","但那是樹影遮擋住了"
"3513","不一會兒"
"3514","潔白的下擺和潔白的布襪子又出現在影子的遠方"
"3515","腳步聲的回響卻反而更高了"
"3516","
    我們凝眸目送著他們"
"3517","一直目送到他們兩人走出山門全然看不見蹤影了"
"3518","對於目送者來說"
"3519","這段時間是相當漫長的"
"3520","
    那時候"
"3521","我心中產生了一股異樣的沖動"
"3522","猶如重要的話要脫口而出卻被給巴所阻礙時一樣"
"3523","這股沖動就在我的喉嚨裡燃燒"
"3524","我渴望解放"
"3525","過去母親暗示過的讓我繼承住持之職的希望是愚蠢的"
"3526","這時候我連升大學的希望也渺然了"
"3527","我渴望從對我無言的支配"
"3528","無言的壓迫中逃脫出來"
"3529","
    那時候"
"3530","不能說我沒有勇氣"
"3531","我懂得坦白者的勇氣"
"3532","二十年來我緘口不言地生活過來"
"3533","我懂得坦白的價值"
"3534","難道說我過分了嗎"
"3535","我對抗老師的無言而堅持不坦白"
"3536","或許是為了試一試“行惡可能嗎”"
"3537","如果我堅持到最後也不懺悔"
"3538","行惡就已經成為可能"
"3539","哪怕只是小小的行惡"
"3540","
    然而"
"3541","我看到老師的潔白的下擺和潔白的布濃於在小樹林的陰影中若隱若現"
"3542","在黎明前的黑暗中遠去的時候"
"3543","我的喉嚨裡燃燒著的力量"
"3544","幾乎變成難以控制的力量"
"3545","我想把所有的一切都坦白出來"
"3546","我想追上老師"
"3547","拽住他的衣袖"
"3548","逐一地大聲陳述那雪天發生的事"
"3549","決不是對老師的尊敬才促使我如是想的"
"3550","而對我來說"
"3551","老師的力量似是一種強有力的物理性的力量"
"3552","
    ……但是"
"3553","假如我坦白出來"
"3554","我人生中最初的小小的罪惡也就瓦解"
"3555","這種思緒制止了我"
"3556","仿佛有什麼東西緊緊地拽住我的後背"
"3557","此時老和尚的身影已鑽出了山門"
"3558","在蒙蒙亮的天空下消失了"
"3559","
    頓時大家獲得了解放"
"3560","熙熙攘攘地跑進了正門裡"
"3561","我正在發呆"
"3562","離川拍了拍我的肩膀"
"3563","我的肩膀蘇醒了"
"3564","這瘦骨嶙峋的丑陋的肩膀又恢復了自豪"
"3565","
    ……盡管有這樣的經歷"
"3566","但結果如上所述"
"3567","我還是進了大各大學"
"3568","不需要懺海"
"3569","此後過了數日"
"3570","老師把我和鶴川喚去"
"3571","簡單地吩咐了一句"
"3572","應該開始准備考試了"
"3573","為照顧備考"
"3574","免去你們干雜務吧"
"3575","
    我就這樣升了大學"
"3576","但是"
"3577","不等於說一切都因此而了結"
"3578","老師這種態度"
"3579","依然沒有說明任何問題"
"3580","即使是繼承人的問題"
"3581","也不知道他有什麼打算"
"3582","完全摸不著頭腦"
"3583","
    大谷大學是我人生中第一次接觸思想的地方"
"3584","也是我對自由選擇的思想感到親近的地方"
"3585","這裡成了我人生轉折的所在"
"3586","
    這所大學創始於距今近三百年前"
"3587","即寬文五年"
"3588","將築紫觀音寺的大學家遷到京都的積殼鄰內"
"3589","這就是這所大學的前身"
"3590","從此以後"
"3591","這裡很長時間就成為大谷派本願寺弟子的修道院"
"3592","到了本願寺第十五世常如宗主時"
"3593","浪華的門徒高木宗賢給寺廟捐獻了錢財"
"3594","選定格北烏丸頭地方興建了校捨"
"3595","占地一萬二千七百坪１"
"3596","作為大學並不算大"
"3597","但它卻不僅成為大谷派"
"3598","而且成為各宗各派的青年來學習研修佛教哲學基礎知識的據點——
    １坪"
"3599","土地的面積單位"
"3600","一坪約等於3.3平方米"
"3601","
    古老的磚門把電車道和大學體育場相隔"
"3602","面對著西邊天空下的層層疊疊的比睿山"
"3603","一進磚門就是一條碎石路"
"3604","一直通到主樓門前的停車處"
"3605","主樓是一座古老的沉郁的二層紅磚房子"
"3606","正門的門樓頂上"
"3607","屹立著青銅的城樓"
"3608","說它是鍾樓又看不見鍾"
"3609","說它是時鍾台"
"3610","又沒有時鍾"
"3611","於是這座城樓在纖細的避雷針下"
"3612","用它的空洞的方形窗口"
"3613","把蔚藍的天空裁剪了下來"
"3614","
    正門旁邊"
"3615","植有一株老菩提樹"
"3616","莊嚴的繁枝茂葉"
"3617","在陽光的照耀下呈現出青銅色"
"3618","校捨從主樓起"
"3619","不斷擴建"
"3620","毫無規則地聯在一起"
"3621","不過"
"3622","大多是陳舊的木質結構平房"
"3623","這所學校是禁止穿鞋進屋的"
"3624","一棟房與一棟房之間是由剛破損的竹葦鋪成的無盡頭的走廊聯結起來的"
"3625","校方像臨時想起來似的"
"3626","只修補了竹葦破損的部分"
"3627","從這棟房走到那棟房"
"3628","腳板仿佛是踩在從最新的木色到陳舊的木色的、各種濃淡有致的鑲嵌工藝品上似的"
"3629","
    我像任何學校的新生一樣"
"3630","每天都是帶著新鮮的心情上學"
"3631","但內心總湧上一股漫無邊際的思緒"
"3632","我熟悉的"
"3633","只有鶴川一人"
"3634","談得投機的"
"3635","也只有鶴川一人"
"3636","連鶴川本人似乎也感到這樣下去"
"3637","我們就會失去難得來到這個新世界的意義"
"3638","幾天後"
"3639","休息的時間"
"3640","我們兩人特意分開"
"3641","各自試圖開拓新的朋友"
"3642","然而"
"3643","結巴的我卻連這種勇氣也沒有"
"3644","因此隨著鶴川的朋友不斷增加"
"3645","我就愈發變得孤獨了"
"3646","
    大學預科一年所修的課程有修身、國語、漢文、華語、英語、歷史、佛典、邏輯、數學、體操等十個課目"
"3647","邏輯課從開始就使我感到苦惱"
"3648","有一天"
"3649","上完這節課"
"3650","午休時我帶著兩三個問題"
"3651","試圖求教於一個我所期待的同學"
"3652","
    這同學經常離群"
"3653","獨自在後院花壇旁吃盒飯"
"3654","這種習慣仿佛是一種儀式"
"3655","其難看的食相也是相當孤僻的"
"3656","所以誰也不接近他"
"3657","他也不與同學交談"
"3658","仿佛在拒絕友誼"
"3659","
    我知道他名叫柏木"
"3660","柏木最明顯的特征就是那雙嚴重的X型的腿"
"3661","走路實在艱難"
"3662","總是像在泥濘中行走"
"3663","一只腳好不容易從泥濘中撥出"
"3664","另一只腳又深深地陷了進去"
"3665","每邁一步"
"3666","全身躍動"
"3667","他的行走就是一種誇張的舞蹈"
"3668","完全失去了常態"
"3669","
    入學當初"
"3670","我就注意柏木並不是沒有緣由的"
"3671","他的殘廢使我放心了"
"3672","他的X型的腿從一開始就意味著對我所處的條件的共鳴"
"3673","
    在後院叢生著三葉草的空地上"
"3674","柏木把盒飯打開了"
"3675","空手道俱樂部和乒乓俱樂部的玻璃窗幾乎全部破落了"
"3676","這些荒廢的房屋就是面對著這個後院的"
"3677","後院裡植有五六株挺拔的青松"
"3678","還有空蕩蕩的小木架溫室"
"3679","木架溫室塗抹的綠色油漆已經剝落、起毛"
"3680","猶如桔假花打卷了"
"3681","旁邊置有兩三層的盆景架、瓦礫堆"
"3682","還有栽著風信子和櫻草花的花四"
"3683","
    坐在王葉草地上是十分愜意的"
"3684","三葉草的柔和的葉子吸收著陽光"
"3685","那細小的影子撒滿一地"
"3686","看起來這一帶恍如從地面輕輕漂起"
"3687","柏木坐著與走路時不同"
"3688","和其他的同學別無二致"
"3689","不僅如此"
"3690","他那蒼白的臉上洋溢著一種可怕的美"
"3691","肉體上的殘廢者同美貌的女子一樣"
"3692","具有無敵的美"
"3693","殘廢者和美貌的女人都是疲於被人觀看"
"3694","頓於被人觀看的存在"
"3695","他被窮追"
"3696","就以存在本身來回觀觀看者"
"3697","最後是觀看著勝利了"
"3698","正在吃盒飯的柏木垂下眼簾"
"3699","我感覺到他的眼睛看遍了自己周圍的世界"
"3700","
    在陽光下"
"3701","他感到自足"
"3702","這個印象打動了我"
"3703","從他的身影可以了解到在春光和花叢中"
"3704","他沒有我所感受到的羞恥和虛空"
"3705","他所強調的影子"
"3706","實際上就是存在著的影子本身"
"3707","毫無疑問"
"3708","陽光是不能滲進他那堅硬的肌膚的"
"3709","
    盒飯盡管難吃"
"3710","他還是專心地吃"
"3711","他的盒飯質量低"
"3712","可是也不低於我早餐時自備的盒飯"
"3713","1945年那年月"
"3714","如果不靠黑市食物是攝取不到營養的"
"3715","
    我拿著筆記本和盒飯站在他的身旁"
"3716","我的影子籠罩著柏木的盒飯"
"3717","他抬起頭瞥了我一眼"
"3718","旋即又把眼簾耷拉下來"
"3719","繼續他那單調的咀嚼"
"3720","如同蠶兒嚼食桑葉一樣"
"3721","
    “對、對不起"
"3722","剛、剛才聽課有、有些地方不明白"
"3723","我"
"3724","我想請教一下"
"3725","’哦用標准語結結巴巴地說"
"3726","因為我想"
"3727","既然上了大學"
"3728","就應該講標准語了"
"3729","
    “你說什麼呀"
"3730","結結巴巴的"
"3731","我聽不明白"
"3732","”柏木突然回答了一句"
"3733","
    我臉上飛起了一片紅潮"
"3734","他舔著筷子尖"
"3735","一股作氣地繼續說下去"
"3736","
    “你為什麼要來和我搭話"
"3737","我全明白了"
"3738","你姓溝口吧"
"3739","殘疾人之間可以交個朋友嘛"
"3740","不過"
"3741","比起我來"
"3742","你把自己的口吃看得太嚴重了吧"
"3743","你過分地重視自己"
"3744","所以和自己一起過分地重視自己的口吃吧"
"3745","”
    後來我知道他也是臨濟宗的禪家子弟時"
"3746","我明白了"
"3747","他的第一次解答多少表現了他這個禪僧的作態"
"3748","盡管如此"
"3749","也不能否定這時他給我留下了強烈的印象"
"3750","
    “結巴"
"3751","結巴"
"3752","”柏木沖著不能連續說上兩句話的我"
"3753","饒有興味地說"
"3754","“你終於找到一個可以放心地結巴的對象了"
"3755","對陽"
"3756","人大概都是這樣去尋求伙伴的"
"3757","這些姑且不說"
"3758","你還是童男子嗎"
"3759","”
    我連笑也沒有笑"
"3760","點了點頭"
"3761","柏木提問的方式活像個醫生"
"3762","使我感到為了自己也不能撒謊"
"3763","
    “是嘛"
"3764","你還是個童男子"
"3765","可一點也不是個美麗的重男子"
"3766","你不受女人的歡迎"
"3767","也沒有嫖女人的勇氣"
"3768","僅此而已"
"3769","但是"
"3770","倘使你為了要在童貞者中間找個朋友而同我交往"
"3771","那就特錯大錯了"
"3772","我為什麼拋棄童貞"
"3773","讓我來告訴你吧"
"3774","”
    柏水沒等我回答就說開了"
"3775","
    我是三宮市近郊的彈寺弟子"
"3776","天生一雙X型的腿……瞧"
"3777","我就這樣開始了自白"
"3778","也許你以為我是個不擇對象就隨便講自己遭遇的可憐的病人"
"3779","可我不是對誰都說這番話的"
"3780","我本人也覺得這是很難為情的"
"3781","從一開始就選擇你作為我傾吐衷腸的對象"
"3782","因為我總覺得我的經歷對你最有價值"
"3783","假使你按照我經歷過的道路走"
"3784","也許是最好的途徑"
"3785","你大概也知道了吧"
"3786","宗教家就是這樣嗅出他的信徒"
"3787","禁酒家就是這樣嗅出他的同伙的"
"3788","
    不錯"
"3789","我自愧於自己存在的條件"
"3790","我覺得同這種條件和解"
"3791","融洽地生活"
"3792","是一種失敗"
"3793","如果要埋怨"
"3794","是可以埋怨的"
"3795","我的雙親本應在我幼時給我施以矯正手術"
"3796","如今已晚了"
"3797","但我對雙親是不關心的"
"3798","也就懶得去埋怨他們了"
"3799","
    我確信我絕對不會博得女子的愛"
"3800","也許你知道了"
"3801","這種確信比人們所想像的更安樂、更平和"
"3802","不同自己的存在條件和解的決心和這種確信不一定沒有矛盾"
"3803","為什麼呢"
"3804","因為假如我相信以我這樣的狀態而能夠博得女人的愛"
"3805","那光憑這一點就足以說明我已同自己的存在條件和解了"
"3806","我知道正確判斷的勇氣與同這種判斷做斗爭的勇氣是很容易互相適應的"
"3807","盡管我存在"
"3808","但總覺得是在斗爭"
"3809","
    這樣一個我"
"3810","當然不會像朋友們那樣留心被煙花女破壞了重貞"
"3811","這是因為煙花女並非為了愛客才接客"
"3812","無論是老人、乞丐、獨眼還是美男子"
"3813","只要事先不知道"
"3814","甚至連麻風病人她們也都接待"
"3815","要是一般人"
"3816","也許會安於這種平等性"
"3817","買個最初的女人吧"
"3818","然而"
